OutputL: fffffb4380; OutputR: 0002546d5c
OutputL: ff9bae01f9; OutputR: ff4690af51
OutputL: febd3424ab; OutputR: 00e1750cef
OutputL: 004112ffc1; OutputR: 006bd82fb9
OutputL: ffa6d0cceb; OutputR: ff8c18ff13
OutputL: 0078703832; OutputR: fec91a918f
OutputL: 004f5a3325; OutputR: ffccf6e73b
OutputL: ffda7e1f9f; OutputR: 000e1426cd
OutputL: fefd1e4532; OutputR: 0021e4ee95
OutputL: ff615f9545; OutputR: 00666fdcc6
OutputL: 006eb9779a; OutputR: 008e9f0cbb
OutputL: ffda3f6ec2; OutputR: 00b64a987c
OutputL: ff6620b175; OutputR: ffbdf6dc0a
OutputL: 00a1c1f1fb; OutputR: ff5b29dded
OutputL: ff845ac92b; OutputR: ff7c830ced
OutputL: ff7e6a2ffc; OutputR: ffff2be4a0
OutputL: fef3cc5031; OutputR: ffc9923fa8
OutputL: 000f0f8329; OutputR: fef876c7bc
OutputL: ffab7a533f; OutputR: 01b7bc3bb2
OutputL: 00244c0dab; OutputR: 0067efcdb8
OutputL: 0064c76583; OutputR: feec4a1ad0
OutputL: ffa422373a; OutputR: fe983e7fbb
OutputL: 0029ae4948; OutputR: 00c2d61259
OutputL: 001add8f3e; OutputR: ff7ca26e87
OutputL: 00a777ffa5; OutputR: ff6f199750
OutputL: ff5c388ac2; OutputR: ffd8601661
OutputL: ff9746efc6; OutputR: 00eed31c1a
OutputL: 0083afe7c0; OutputR: 00c4eebfae
OutputL: 000f2766ea; OutputR: ff0ca84bf7
OutputL: 00e92d5d23; OutputR: 00941d984f
OutputL: 0031d3402f; OutputR: ff796e1218
OutputL: fffc402a17; OutputR: 00baac2c0b
OutputL: ff3c6e90ee; OutputR: fe2afc5261
OutputL: fefe63eb57; OutputR: 0060890edb
OutputL: 002d66c546; OutputR: 013a52c525
OutputL: 00a326e4bc; OutputR: ff9a085ae4
OutputL: 003ef66279; OutputR: ff526c55df
OutputL: 0089232ddb; OutputR: 006f8e2857
OutputL: ff6aba12bf; OutputR: 001fc39e02
OutputL: fff27eca97; OutputR: 014bdcc69b
OutputL: 0004023c9d; OutputR: fecad01002
OutputL: feee0423e0; OutputR: fef76ba68f
OutputL: ff3f02918a; OutputR: 010351f93a
OutputL: fec6720ccc; OutputR: ffc0a4679b
OutputL: ff8880e4a8; OutputR: ff8905de0d
OutputL: 00780089bc; OutputR: ff9efb6729
OutputL: 0060c9d4b9; OutputR: ffb0672c9f
OutputL: ffd77e38d9; OutputR: 00170a9053
OutputL: ffbe5c2064; OutputR: ff1b4af235
OutputL: fff4c61931; OutputR: ff73004b30
OutputL: 011c8d9708; OutputR: 00aaee0669
OutputL: 004497727d; OutputR: 013c122c43
OutputL: ffc3be9307; OutputR: 00014d8548
OutputL: 004c0996b4; OutputR: 020a28a688
OutputL: ff2e351bbc; OutputR: 0023acbce4
OutputL: ff83d1ba23; OutputR: ff296f45cd
OutputL: 0140e6603b; OutputR: ff41cf4fe7
OutputL: fee92b8073; OutputR: ff7802580d
OutputL: 0000b13167; OutputR: ff568fa5a6
OutputL: 010a792316; OutputR: fe5def8c43
OutputL: ffd5198ab7; OutputR: 00733ca62a
OutputL: fff247b09b; OutputR: 000d16805e
OutputL: 00bc42c4d0; OutputR: 00660ad701
OutputL: ff9b45c6cb; OutputR: feb7943b59
OutputL: ff44b1788c; OutputR: 012347ab33
OutputL: ffe2aac598; OutputR: ff909010ec
OutputL: ff8beb0843; OutputR: ff976d9d16
OutputL: ff9a281c39; OutputR: 0178ea3013
OutputL: 00c112af9c; OutputR: ff68ac6fd3
OutputL: ffac345c98; OutputR: ff6cc06884
OutputL: ff9f4d093c; OutputR: 006ed16566
OutputL: 003ecb9543; OutputR: 002cc0012e
OutputL: ff8dc1f994; OutputR: 006639db21
OutputL: 004ac4b629; OutputR: ffc9e4cb0e
OutputL: ff7ecf4651; OutputR: ff60c95b5e
OutputL: ffbde322ee; OutputR: 006a3936a3
OutputL: ffe2fb9d56; OutputR: 00c0650819
OutputL: 00c6bc0f24; OutputR: fe146ade63
OutputL: ffed09abb2; OutputR: 00ab981e30
OutputL: 0027355359; OutputR: ffcc20f130
OutputL: ff3a903367; OutputR: 00c166cbb1
OutputL: ff5364a032; OutputR: fe57dbd3c8
OutputL: 0007ec76d6; OutputR: 0058c9ef41
OutputL: ff26bd4d25; OutputR: ffcb25b91a
OutputL: ffd18210f7; OutputR: ffce3f09a1
OutputL: 0072ed2783; OutputR: ffbd8eccca
OutputL: ff3161e9f8; OutputR: ff963be557
OutputL: 0024173126; OutputR: 002b577e0c
OutputL: ff704d3ae2; OutputR: 002fc34660
OutputL: 0019b2b95c; OutputR: fff4dc79fe
OutputL: ffb7433e31; OutputR: 00e634e596
OutputL: fff19c68b0; OutputR: 008fdf705e
OutputL: 00031e5bbc; OutputR: fffb5054c8
OutputL: ff6f6959b4; OutputR: 0063d027b6
OutputL: fff857efbf; OutputR: 004985f3a8
OutputL: 0099081440; OutputR: 00793cf21c
OutputL: ffc71842a8; OutputR: 009600eaf8
OutputL: ffd63e94b0; OutputR: ff638d48c3
OutputL: ffa958b13f; OutputR: 01131e6470
OutputL: 00c1609b4d; OutputR: 0114ab39b7
OutputL: ffef142e5b; OutputR: 0031e97f9d
OutputL: ffc5a35fc7; OutputR: ffe8ed004d
OutputL: ffd8d6c8c9; OutputR: 00b5160329
OutputL: ffc56d2682; OutputR: fec94b30b5
OutputL: ff584b51a7; OutputR: ff70e16ebe
OutputL: 003ad3200e; OutputR: ffbb2bc72d
OutputL: ff91acc3e9; OutputR: ffe8970be4
OutputL: ff654a38e9; OutputR: 0007b4d351
OutputL: 0024c9c6ed; OutputR: ff95977d1d
OutputL: 00a1a7108b; OutputR: 006be64288
OutputL: 0030a43e96; OutputR: 00d295bea5
OutputL: 000f54dd1f; OutputR: 001ce7efb6
OutputL: 004b290f5f; OutputR: 00454d521c
OutputL: 001f047dc3; OutputR: 00902670af
OutputL: ff772ad7d3; OutputR: 013137ba7b
OutputL: 0012f16432; OutputR: 002a559526
OutputL: ffe39a7451; OutputR: 01604e3939
OutputL: ffd052232d; OutputR: ff423d02bb
OutputL: 004f98de5a; OutputR: 00b59a7427
OutputL: 0013de7eb5; OutputR: feeb9bf252
OutputL: fecf28bafb; OutputR: 000355f7e3
OutputL: fff5f2a40e; OutputR: ffa939714e
OutputL: ffd0ea6ca7; OutputR: ff47eea6c3
OutputL: ff81cd475d; OutputR: ff435a0040
OutputL: 0037d7c3f3; OutputR: ffcd35eb03
OutputL: ffa115a958; OutputR: 00a9c9c1d0
OutputL: ff94b4604d; OutputR: 00322f1883
OutputL: ffd0f0e5a0; OutputR: ffa7084921
OutputL: ffcd8ee342; OutputR: ff82210f38
OutputL: ffa964edad; OutputR: 00090701ac
OutputL: ff70c3c4e6; OutputR: ff7eec7c8b
OutputL: 00659b9dc2; OutputR: ff0ea7f523
OutputL: 003ffcb9a8; OutputR: ffcec6c194
OutputL: 000f04e238; OutputR: ff6a68c755
OutputL: 00ab2009f3; OutputR: 008c6dfe23
OutputL: 00019c6fc5; OutputR: fe9b1f599b
OutputL: ffd4fe1a46; OutputR: 006394c8aa
OutputL: 0027d38cbd; OutputR: 009efc39d6
OutputL: ffed6b77df; OutputR: ff919e9c6f
OutputL: 00490c7ddf; OutputR: ff57544bbf
OutputL: 00840a7fda; OutputR: 003345dd6d
OutputL: ffb5810f04; OutputR: ffbda701c1
OutputL: fffc85e902; OutputR: fe55c16cf7
OutputL: ffbcd87e5e; OutputR: 01169eb959
OutputL: ffdd53a6dd; OutputR: ff83e9c969
OutputL: 003eabab88; OutputR: ffdefff539
OutputL: ffaf1c02ac; OutputR: ff049e9923
OutputL: ffa7c3f8ee; OutputR: ffd07023ad
OutputL: ffa4137ef8; OutputR: 0113d01338
OutputL: fff97ad051; OutputR: fff07e9b6a
OutputL: fffb5f27b3; OutputR: fff7173713
OutputL: ffc24e022e; OutputR: 00301c1b4e
OutputL: ffa9177e76; OutputR: 004552dd3e
OutputL: ffabe70683; OutputR: 0015a4264f
OutputL: ffae180129; OutputR: 00652b06f2
OutputL: ffe0dad373; OutputR: ffcacc930a
OutputL: 00288e5cfa; OutputR: 0060e1c281
OutputL: 002d06f17a; OutputR: ff4008ca6e
OutputL: 0047906e5b; OutputR: ff9a9ea236
OutputL: 0046c1344f; OutputR: 007869c289
OutputL: ffdc6895bd; OutputR: ffc5ecab65
OutputL: ffc4bff1da; OutputR: 01165f22d8
OutputL: fff27f6fe0; OutputR: 00e3562f38
OutputL: ffe2b3d9b0; OutputR: ff4c15e867
OutputL: ffdde988a6; OutputR: fed4fdc51f
OutputL: fff95e9eed; OutputR: 003ef86d4f
OutputL: ffdd357948; OutputR: ff4711069a
OutputL: ffc88ca2bd; OutputR: ffe8b44cfa
OutputL: 00127e706f; OutputR: ff9e2ebfdb
OutputL: ffddc37cb1; OutputR: 010df7aae7
OutputL: ffeddad07c; OutputR: 0092f8b0c0
OutputL: 0053e71d2d; OutputR: 00edfd6875
OutputL: 004738e9e3; OutputR: 00f7241f11
OutputL: ffea327885; OutputR: ff5f2f37d5
OutputL: 0023c4a257; OutputR: 00230e406a
OutputL: ffb707a367; OutputR: 00cdbd648b
OutputL: ffd4acf01d; OutputR: 009c467bbf
OutputL: 002c951e8a; OutputR: 00d4a806ad
OutputL: ffa555aa3c; OutputR: ffd0f00817
OutputL: 000dc777a2; OutputR: ffa6bc709e
OutputL: 00101f8b94; OutputR: fed89344e7
OutputL: 0020f50ea0; OutputR: fff806693c
OutputL: 005171efee; OutputR: fff8003d56
OutputL: ffe654dc03; OutputR: 00e1e6ec11
OutputL: ffe2cebf8f; OutputR: fe8676732d
OutputL: ffd6e34464; OutputR: feaeeeef9a
OutputL: 000ef634fc; OutputR: 008ed118e0
OutputL: 00219bafaa; OutputR: ff60c57d19
OutputL: ffefaf9fb3; OutputR: fe3387b5b6
OutputL: 000b122090; OutputR: 007cc85691
OutputL: ffb4e4d6b1; OutputR: ffff2db496
OutputL: fffe56920b; OutputR: 016773f89f
OutputL: 000461d7ad; OutputR: 0011dd0258
OutputL: ffe46d841f; OutputR: ffa78bf4d8
OutputL: 001893601b; OutputR: 01937d65d0
OutputL: ffea7063eb; OutputR: ff52d11823
OutputL: 0003b47763; OutputR: 01765fb044
OutputL: 00043951d8; OutputR: ffd9a5f801
OutputL: ffff8c6e89; OutputR: ffec9bc75f
OutputL: 000085328e; OutputR: ffa95a074f
OutputL: ffff2abef5; OutputR: ff099db083
OutputL: 0002803d25; OutputR: ffa5978787
OutputL: ffff75d638; OutputR: ffe7a0f0e5
OutputL: 000108ecc1; OutputR: 00dc9480e8
OutputL: fffea35d03; OutputR: ff9830e7ad
OutputL: 000085b400; OutputR: fe926da7ca
OutputL: 0000432800; OutputR: ff9fb20e8f
OutputL: ffffdac400; OutputR: ffdd6b6104
OutputL: 0000000000; OutputR: ff4b782e76
OutputL: 0000000000; OutputR: 0046cb47c6
OutputL: 0000000000; OutputR: ffd0824a11
OutputL: 0000000000; OutputR: 0157e91040
OutputL: 0000000000; OutputR: ff078294c0
OutputL: 0000000000; OutputR: 008edbf52d
OutputL: 0000000000; OutputR: ff4d90732f
OutputL: 0000000000; OutputR: ffa65d1ad4
OutputL: 0000000000; OutputR: 01b680d6d9
OutputL: 0000000000; OutputR: ff97e27e75
OutputL: 0000000000; OutputR: 004563aa7f
OutputL: 0000000000; OutputR: 0127d31f25
OutputL: 0000000000; OutputR: ff865f28d6
OutputL: 0000000000; OutputR: feefd875fb
OutputL: 0000000000; OutputR: 0047a0e7db
OutputL: 0000000000; OutputR: 006bcd6075
OutputL: 0000000000; OutputR: ffd2d0dbc9
OutputL: 0000000000; OutputR: 006922d026
OutputL: 0000000000; OutputR: ff885cbe42
OutputL: 0000000000; OutputR: 00b34b0347
OutputL: 0000000000; OutputR: ff2c2a2b72
OutputL: 0000000000; OutputR: 00bc6130d4
OutputL: 0000000000; OutputR: ffecd4421b
OutputL: 0000000000; OutputR: 00835c15c6
OutputL: 0000000000; OutputR: ffca7b2a1c
OutputL: 0000000000; OutputR: feef660869
OutputL: 0000000000; OutputR: ffb6b038c7
OutputL: 0000000000; OutputR: 00a8d385af
OutputL: 0000000000; OutputR: 010ec674d8
OutputL: 0000000000; OutputR: fff429f8f8
OutputL: 0000000000; OutputR: 00f80a243e
OutputL: 0000000000; OutputR: 0003fc7eba
OutputL: 0000000000; OutputR: ff36186bb5
OutputL: 0000000000; OutputR: ffd4ffa746
OutputL: 0000000000; OutputR: 0017b7d033
OutputL: 0000000000; OutputR: 0000e34bca
OutputL: 0000000000; OutputR: 000ef853ee
OutputL: 0000000000; OutputR: 002146d19b
OutputL: 0000000000; OutputR: ffffc93641
OutputL: 0000000000; OutputR: 0158707e27
OutputL: 0000000000; OutputR: ff527fb3cb
OutputL: 0000000000; OutputR: ffe95b2fbc
OutputL: 0000000000; OutputR: ff7ed9f4f3
OutputL: 0000000000; OutputR: 01649828a2
OutputL: 0000000000; OutputR: ffd6e89455
OutputL: 0000000000; OutputR: ff03d87aa0
OutputL: 0000000000; OutputR: 0134069cc5
OutputL: 0000000000; OutputR: 00e46c36aa
OutputL: 0000000000; OutputR: 0003e42c38
OutputL: 0000000000; OutputR: ff64b3d931
OutputL: 0000000000; OutputR: ff85c83275
OutputL: 0000000000; OutputR: ff44cdd6b2
OutputL: 0000000000; OutputR: fec5bbaf51
OutputL: 0000000000; OutputR: fee281e219
OutputL: 0000000000; OutputR: 0080f887c4
OutputL: 0000000000; OutputR: 002a57bf54
OutputL: 0000000000; OutputR: ff4f4798d0
OutputL: 0000000000; OutputR: ff3b47ae76
OutputL: 0000000000; OutputR: ff9c4d4750
OutputL: 0000000000; OutputR: 0088190751
OutputL: 0000000000; OutputR: ff5a4bd373
OutputL: 0000000000; OutputR: 006dadeede
OutputL: 0000000000; OutputR: 00c1694505
OutputL: 0000000000; OutputR: 002faa37c3
OutputL: 0000000000; OutputR: fec988b4f5
OutputL: 0000000000; OutputR: ffd2c3f15c
OutputL: 0000000000; OutputR: ff19382a56
OutputL: 0000000000; OutputR: fe77df3657
OutputL: 0000000000; OutputR: 00512a059c
OutputL: 0000000000; OutputR: ffa52e2319
OutputL: 0000000000; OutputR: ffbb929599
OutputL: 0000000000; OutputR: 005f7fe528
OutputL: 0000000000; OutputR: ff8904c7ba
OutputL: 0000000000; OutputR: 008342228e
OutputL: 0000000000; OutputR: ffb0b89360
OutputL: 0000000000; OutputR: ffda690417
OutputL: 0000000000; OutputR: ffa0e7db84
OutputL: 0000000000; OutputR: fee2cecfac
OutputL: 0000000000; OutputR: 00749d62ec
OutputL: 0000000000; OutputR: ffa1a60ca2
OutputL: 0000000000; OutputR: ff7dca70ad
OutputL: 0000000000; OutputR: 00fbdf6cdf
OutputL: 0000000000; OutputR: fe46882223
OutputL: 0000000000; OutputR: fef0e5f0cb
OutputL: 0000000000; OutputR: ff825519a3
OutputL: 0000000000; OutputR: ffa7ebb0dc
OutputL: 0000000000; OutputR: 001bbdfe72
OutputL: 0000000000; OutputR: 004dbe8dbd
OutputL: 0000000000; OutputR: 008e07f0a1
OutputL: 0000000000; OutputR: ffd2a2bd87
OutputL: 0000000000; OutputR: 005b5f2f27
OutputL: 0000000000; OutputR: ff95b0817b
OutputL: 0000000000; OutputR: 003966b8b8
OutputL: 0000000000; OutputR: 00267c066f
OutputL: 0000000000; OutputR: 0077cbd68b
OutputL: 0000000000; OutputR: 0085146718
OutputL: 0000000000; OutputR: 002b701dbb
OutputL: 0000000000; OutputR: 012e71cf94
OutputL: 0000000000; OutputR: 014d295683
OutputL: 0000000000; OutputR: fec691da7f
OutputL: 0000000000; OutputR: 00370ce816
OutputL: 0000000000; OutputR: ff5092ae38
OutputL: 0000000000; OutputR: ffd39f3aec
OutputL: 0000000000; OutputR: 0024090029
OutputL: 0000000000; OutputR: ffe87bd2ec
OutputL: 0000000000; OutputR: ff219a0e7f
OutputL: 0000000000; OutputR: 000a66168b
OutputL: 0000000000; OutputR: 0026b51193
OutputL: 0000000000; OutputR: 000b1c831b
OutputL: 0000000000; OutputR: fffaba1dcb
OutputL: 0000000000; OutputR: 00ae88b836
OutputL: 0000000000; OutputR: ff2569acd6
OutputL: 0000000000; OutputR: 0102e532a9
OutputL: 0000000000; OutputR: 0100131783
OutputL: 0000000000; OutputR: 00785b8c0a
OutputL: 0000000000; OutputR: 0012ab7ddd
OutputL: 0000000000; OutputR: 00d8aa2e15
OutputL: 0000000000; OutputR: 0067dd484e
OutputL: 0000000000; OutputR: ffdb7f4191
OutputL: 0000000000; OutputR: ffba8a6bc9
OutputL: 0000000000; OutputR: 01ff83ab4a
OutputL: 0000000000; OutputR: 014a657def
OutputL: 0000000000; OutputR: ffaacc10bd
OutputL: 0000000000; OutputR: fe78c0a381
OutputL: 0000000000; OutputR: ffef411897
OutputL: 0000000000; OutputR: ff192bba07
OutputL: 0000000000; OutputR: ff025d271c
OutputL: 0000000000; OutputR: fed1777a76
OutputL: 0000000000; OutputR: 01322d1056
OutputL: 0000000000; OutputR: 0083084807
OutputL: 0000000000; OutputR: 0035b7c2d0
OutputL: 0000000000; OutputR: 00dde9bd43
OutputL: 0000000000; OutputR: 00b4f7c7c5
OutputL: 0000000000; OutputR: 00b40b00d7
OutputL: 0000000000; OutputR: feac069019
OutputL: 0000000000; OutputR: 0048994901
OutputL: 0000000000; OutputR: 00c5b8259d
OutputL: 0000000000; OutputR: ffa1e5f78e
OutputL: 0000000000; OutputR: 004750117a
OutputL: 0000000000; OutputR: 013bfb3482
OutputL: 0000000000; OutputR: ffaf25a62c
OutputL: 0000000000; OutputR: 00cc8197ef
OutputL: 0000000000; OutputR: ff875a8788
OutputL: 0000000000; OutputR: ff0b8f4d4b
OutputL: 0000000000; OutputR: 003999ff1e
OutputL: 0000000000; OutputR: ff38220843
OutputL: 0000000000; OutputR: 0044b97b8d
OutputL: 0000000000; OutputR: 00dd1daf87
OutputL: 0000000000; OutputR: ffbc801967
OutputL: 0000000000; OutputR: ff32549510
OutputL: 0000000000; OutputR: ffd2b09569
OutputL: 0000000000; OutputR: 0198d5b412
OutputL: 0000000000; OutputR: febf0cd93d
OutputL: 0000000000; OutputR: 0029f96085
OutputL: 0000000000; OutputR: 001e4990b7
OutputL: 0000000000; OutputR: 012dc75774
OutputL: 0000000000; OutputR: ff9f978baf
OutputL: 0000000000; OutputR: 0057f5d87b
OutputL: 0000000000; OutputR: ff686d4928
OutputL: 0000000000; OutputR: fe848d25ff
OutputL: 0000000000; OutputR: 004fccd740
OutputL: 0000000000; OutputR: ff4d0a2a37
OutputL: 0000000000; OutputR: 00e6136597
OutputL: 0000000000; OutputR: 0082acefd5
OutputL: 0000000000; OutputR: 002f5976de
OutputL: 0000000000; OutputR: 00117797aa
OutputL: 0000000000; OutputR: ff328e5da0
OutputL: 0000000000; OutputR: 003dac9892
OutputL: 0000000000; OutputR: 015b1683a2
OutputL: 0000000000; OutputR: ff8b502b08
OutputL: 0000000000; OutputR: 00f75cb2f2
OutputL: 0000000000; OutputR: ff110adb60
OutputL: 0000000000; OutputR: 009172c6ca
OutputL: 0000000000; OutputR: 002fc7593c
OutputL: 0000000000; OutputR: ffdda5bf08
OutputL: 0000000000; OutputR: 010640d2c3
OutputL: 0000000000; OutputR: ff1712b9a0
OutputL: 0000000000; OutputR: ffec8e28f6
OutputL: 0000000000; OutputR: 0054cac008
OutputL: 0000000000; OutputR: ff7b2d07d7
OutputL: 0000000000; OutputR: 0086aa5c1c
OutputL: 0000000000; OutputR: ff3719782b
OutputL: 0000000000; OutputR: 00a3fe0950
OutputL: 0000000000; OutputR: fec77b4596
OutputL: 0000000000; OutputR: fffa2a8d0f
OutputL: 0000000000; OutputR: 0063e45c2b
OutputL: 0000000000; OutputR: ffd8c725ce
OutputL: 0000000000; OutputR: ff9184456f
OutputL: 0000000000; OutputR: 018f2fc9b5
OutputL: 0000000000; OutputR: ffb636955e
OutputL: 0000000000; OutputR: 0068b6a6d6
OutputL: 0000000000; OutputR: fe9ed59d75
OutputL: 0000000000; OutputR: ffc451eb3f
OutputL: 0000000000; OutputR: 010852d5f3
OutputL: 0000000000; OutputR: ff92a4eadd
OutputL: 0000000000; OutputR: 00b4095dc9
OutputL: 0000000000; OutputR: ff88342ad8
OutputL: 0000000000; OutputR: ffbe4d0d19
OutputL: 0000000000; OutputR: ffd7d336c5
OutputL: 0000000000; OutputR: fef22415ea
OutputL: 0000000000; OutputR: ff918a6cc3
OutputL: 0000000000; OutputR: feb68e8178
OutputL: 0000000000; OutputR: 004c85ce15
OutputL: 0000000000; OutputR: ff960e5195
OutputL: 0000000000; OutputR: fe62be5ab2
OutputL: 0000000000; OutputR: 00451b0e25
OutputL: 0000000000; OutputR: ff3feb60be
OutputL: 0000000000; OutputR: 00a71ede7b
OutputL: 0000000000; OutputR: fffbcc4ae6
OutputL: 0000000000; OutputR: fef590a9e7
OutputL: 0000000000; OutputR: ff75027a90
OutputL: 0000000000; OutputR: 007c8f5ce1
OutputL: 0000000000; OutputR: fe405a11f5
OutputL: 0000000000; OutputR: ff6ea7ce29
OutputL: 0000000000; OutputR: ff32b2f8a2
OutputL: 0000000000; OutputR: 006f8b573d
OutputL: 0000000000; OutputR: 0060c091c8
OutputL: 0000000000; OutputR: ff22c60be4
OutputL: 0000000000; OutputR: ff87de90c9
OutputL: 0000000000; OutputR: fff33aab8d
OutputL: 0000000000; OutputR: ffe6da191a
OutputL: 0000000000; OutputR: 0080f7ac2a
OutputL: 0000000000; OutputR: ff8091850a
OutputL: 0000000000; OutputR: fff97976d6
OutputL: 0000000000; OutputR: ffec99dc88
OutputL: 0000000000; OutputR: ff38973c73
OutputL: 0000000000; OutputR: fed4bb7cbc
OutputL: 0000000000; OutputR: 00aad0682d
OutputL: 0000000000; OutputR: 00d210fc67
OutputL: 0000000000; OutputR: ffdbfdb323
OutputL: 0000000000; OutputR: 01248726de
OutputL: 0000000000; OutputR: fff4abdd45
OutputL: 0000000000; OutputR: 002973091d
OutputL: 0000000000; OutputR: 001ad9623e
OutputL: 0000000000; OutputR: ff7ed551f2
OutputL: 0000000000; OutputR: ff6ff20a60
OutputL: 0000000000; OutputR: ff2bf9daa6
OutputL: 0000000000; OutputR: 00321ff501
OutputL: 0000000000; OutputR: 013f3d1f9f
OutputL: 0000000000; OutputR: fff1de3e37
OutputL: 0000000000; OutputR: 004a56e63c
OutputL: 0000000000; OutputR: 0044fe6816
OutputL: 0000000000; OutputR: 001bb79de2
OutputL: 0000000000; OutputR: 009a49eba1
OutputL: 0000000000; OutputR: ffb42daeeb
OutputL: 0000000000; OutputR: 0145f1becc
OutputL: 0000000000; OutputR: 02262f9228
OutputL: 0000000000; OutputR: ff3dbe9dcc
OutputL: 0000000000; OutputR: ff1ef8baff
OutputL: 0000000000; OutputR: 00d9d38dd6
OutputL: 0000000000; OutputR: 009a7cb0bf
OutputL: 0000000000; OutputR: ff8ef1a3f9
OutputL: 0000000000; OutputR: 004a8f38a0
OutputL: 0000000000; OutputR: 00cb52cb50
OutputL: 0000000000; OutputR: ffcc05dfce
OutputL: 0000000000; OutputR: 016b53a025
OutputL: 0000000000; OutputR: ff93b37d56
OutputL: 0000000000; OutputR: ff2e0ebc14
OutputL: 0000000000; OutputR: ffec8f61ff
OutputL: 0000000000; OutputR: ff8f30396c
OutputL: 0000000000; OutputR: 0039dd3c93
OutputL: 0000000000; OutputR: ffdaf219e9
OutputL: 0000000000; OutputR: ffd8e7942d
OutputL: 0000000000; OutputR: 00a2d1671e
OutputL: 0000000000; OutputR: 0075de8974
OutputL: 0000000000; OutputR: 004f1c6452
OutputL: 0000000000; OutputR: ff273fc4d5
OutputL: 0000000000; OutputR: 00aa60f424
OutputL: 0000000000; OutputR: 00ad62279e
OutputL: 0000000000; OutputR: ff96d0d47c
OutputL: 0000000000; OutputR: 0074f6e510
OutputL: 0000000000; OutputR: 0070448973
OutputL: 0000000000; OutputR: ffabe34604
OutputL: 0000000000; OutputR: fe40384b2d
OutputL: 0000000000; OutputR: ffce639337
OutputL: 0000000000; OutputR: 003c6d847c
OutputL: 0000000000; OutputR: ff0d6baa17
OutputL: 0000000000; OutputR: 0038d40381
OutputL: 0000000000; OutputR: fefb3842bd
OutputL: 0000000000; OutputR: 005c1041b5
OutputL: 0000000000; OutputR: fe8df1aa88
OutputL: 0000000000; OutputR: 002e51f05b
OutputL: 0000000000; OutputR: ff88a5ad5d
OutputL: 0000000000; OutputR: feda2f2836
OutputL: 0000000000; OutputR: ff64b3c096
OutputL: 0000000000; OutputR: 00062679de
OutputL: 0000000000; OutputR: 00bce6077d
OutputL: 0000000000; OutputR: 01335f0ed1
OutputL: 0000000000; OutputR: 009e09a772
OutputL: 0000000000; OutputR: 00a5d8cf8e
OutputL: 0000000000; OutputR: 00fc3a0afe
OutputL: 0000000000; OutputR: feb09ab839
OutputL: 0000000000; OutputR: 00362f5ab4
OutputL: 0000000000; OutputR: ff1cb8b3ab
OutputL: 0000000000; OutputR: ff76e5df40
OutputL: 0000000000; OutputR: 005990c1d3
OutputL: 0000000000; OutputR: ff63ad1ac1
OutputL: 0000000000; OutputR: 007cc68618
OutputL: 0000000000; OutputR: ffd8fa7351
OutputL: 0000000000; OutputR: 0036ffbbf3
OutputL: 0000000000; OutputR: fff8dde8bd
OutputL: 0000000000; OutputR: fdfdcfbd15
OutputL: 0000000000; OutputR: ff3346cd81
OutputL: 0000000000; OutputR: 0085c03d51
OutputL: 0000000000; OutputR: 004684915e
OutputL: 0000000000; OutputR: 003acf99f8
OutputL: 0000000000; OutputR: 001697d30e
OutputL: 0000000000; OutputR: 026deb960a
OutputL: 0000000000; OutputR: fff33dcc64
OutputL: 0000000000; OutputR: ff2bf93b0c
OutputL: 0000000000; OutputR: ffd52631ff
OutputL: 0000000000; OutputR: 00bb825e36
OutputL: 0000000000; OutputR: ffb30b852a
OutputL: 0000000000; OutputR: ff51440f8e
OutputL: 0000000000; OutputR: 011979c197
OutputL: 0000000000; OutputR: 0001f13ba8
OutputL: 0000000000; OutputR: fffe0dc661
OutputL: 0000000000; OutputR: 004bc74d07
OutputL: 0000000000; OutputR: ff4155eb7e
OutputL: 0000000000; OutputR: 00b0171cac
OutputL: 0000000000; OutputR: 008c579636
OutputL: 0000000000; OutputR: 004d5c0652
OutputL: 0000000000; OutputR: 000ee06e5a
OutputL: 0000000000; OutputR: ff65362b15
OutputL: 0000000000; OutputR: 00e00af48a
OutputL: 0000000000; OutputR: 007b497120
OutputL: 0000000000; OutputR: 00714a390b
OutputL: 0000000000; OutputR: fe853b2cf8
OutputL: 0000000000; OutputR: 00c4bbf90a
OutputL: 0000000000; OutputR: 00c3c7bca7
OutputL: 0000000000; OutputR: 001209e232
OutputL: 0000000000; OutputR: 00c0490d00
OutputL: 0000000000; OutputR: ff78b590e8
OutputL: 0000000000; OutputR: ffa6347329
OutputL: 0000000000; OutputR: 003abbc8a3
OutputL: 0000000000; OutputR: fffc131c0c
OutputL: 0000000000; OutputR: 000f5d1ba1
OutputL: 0000000000; OutputR: ffbd5cc760
OutputL: 0000000000; OutputR: fe588c2bc4
OutputL: 0000000000; OutputR: 00c04b057c
OutputL: 0000000000; OutputR: ffbb56980d
OutputL: 0000000000; OutputR: ff7711a660
OutputL: 0000000000; OutputR: 00a3723540
OutputL: 0000000000; OutputR: ff102f324c
OutputL: 0000000000; OutputR: fecd88d794
OutputL: 0000000000; OutputR: ffecf04d76
OutputL: 0000000000; OutputR: 00d1d2d89d
OutputL: 0000000000; OutputR: 01092bf782
OutputL: 0000000000; OutputR: ff011a31dd
OutputL: 0000000000; OutputR: 00dfab1e73
OutputL: 0000000000; OutputR: ffc6367fb5
